keyword_painted_year | matching_year| image_url| museum
1520|1520|http://www.dia.org/user_area/comping/36.77.jpg|detroit
1520|1520|http://www.dia.org/user_area/comping/37.148-S1.jpg|detroit
1520|1520|http://www.dia.org/user_area/comping/43.3.jpg|detroit
1520|1520|http://www.dia.org/user_area/comping/79.177.jpg|detroit
1520|1520|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767260-WEB.jpg|lacma
1520|1520|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767260-WEB.jpg|lacma
1868|1868|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23448_1783545.jpg|artic
1868|1868|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000155/6268_1661644.jpg|artic
1868|1868|http://www.dia.org/user_area/comping/1994.88-S1.jpg|detroit
1868|1868|http://www.dia.org/user_area/comping/70.173.jpg|detroit
1868|1868|http://www.dia.org/user_area/comping/76.4.jpg|detroit
1868|1868|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31973854-WEB.jpg|lacma
1868|1868|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971909-WEB.jpg|lacma
1868|1868|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765591-WEB.jpg|lacma
1868|1868|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31765591-WEB.jpg|lacma
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000158/11021_1706860.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4556_1633772.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/2571_1604957.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4217_1628382.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4219_1628441.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4218_1628416.jpg|artic
1800|1800|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4884_1638390.jpg|artic
1800|1800|http://www.dia.org/user_area/comping/53.387-S1.jpg|detroit
1800|1800|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770959-WEB.jpg|lacma
1800|1800|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774342-WEB.jpg|lacma
1800|1800|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770959-WEB.jpg|lacma
1800|1800|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774342-WEB.jpg|lacma
1707|1707|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/178_1575161.jpg|artic
1877|1877|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/213_1575726.jpg|artic
1877|1877|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000253/185204_3008003.jpg|artic
1877|1877|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/5194_1643576.jpg|artic
1877|1877|http://www.dia.org/user_area/comping/1992.8-S1.jpg|detroit
1877|1877|http://www.dia.org/user_area/comping/21.8-S1.jpg|detroit
1877|1877|http://www.dia.org/user_area/comping/71.301.jpg|detroit
1877|1877|http://www.dia.org/user_area/comping/2003.32-D2.jpg|detroit
1877|1877|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971342-WEB.jpg|lacma
1877|1877|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-33110327-WEB.jpg|lacma
1877|1877|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-33110327-WEB.jpg|lacma
1885|1885|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4118_1626413.jpg|artic
1885|1885|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23498_1783914.jpg|artic
1885|1885|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000258/178895_3091098.jpg|artic
1885|1885|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000157/9087_1692887.jpg|artic
1885|1885|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/383_1578586.jpg|artic
1885|1885|http://www.dia.org/user_area/comping/1985.27-S1.jpg|detroit
1885|1885|http://www.dia.org/user_area/comping/21.72-S1.jpg|detroit
1885|1885|http://www.dia.org/user_area/comping/54.100-S1.jpg|detroit
1885|1885|http://www.dia.org/user_area/comping/73.41.jpg|detroit
1885|1885|http://www.dia.org/user_area/comping/88.2.jpg|detroit
1885|1885|http://www.dia.org/user_area/comping/08.12.jpg|detroit
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971306-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971965-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971979-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773277-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31264983-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773326-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31776576-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773277-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31264983-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773326-WEB.jpg|lacma
1885|1885|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31776576-WEB.jpg|lacma
1863|1863|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3769_1621330.jpg|artic
1863|1863|http://www.dia.org/user_area/comping/68.345.jpg|detroit
1863|1863|http://www.dia.org/user_area/comping/1996.1.jpg|detroit
1863|1863|http://www.dia.org/user_area/comping/75.86.jpg|detroit
1863|1863|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31973147-WEB.jpg|lacma
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/186335_3020179.jpg|artic
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000255/188540_3035539.jpg|artic
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/380_1578507.jpg|artic
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5642_1651380.jpg|artic
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/2194_1599951.jpg|artic
1911|1911|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000220/137236_2485742.jpg|artic
1911|1911|http://www.dia.org/user_area/comping/21.206-S1.jpg|detroit
1911|1911|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31722213-WEB.jpg|lacma
1911|1911|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971713-WEB.jpg|lacma
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3830_1622447.jpg|artic
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/186112_3017459.jpg|artic
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000253/184154_3002259.jpg|artic
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4807_1637188.jpg|artic
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000248/172602_2924547.jpg|artic
1880|1880|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/336_1577722.jpg|artic
1880|1880|http://www.dia.org/user_area/comping/13.2-S1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/1986.60.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/46.135.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/47.36-D1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/47.37-S1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/60.67-S1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/72.249.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/70.162.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/1995.31.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/1997.33-S1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/2001.5-D1.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/21.193.jpg|detroit
1880|1880|http://www.dia.org/user_area/comping/23.155-S1.jpg|detroit
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971230-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31261969-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31280275-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31972637-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31972875-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774300-WEB.jpg|lacma
1880|1880|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774300-WEB.jpg|lacma
1884|1884|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000156/8227_1683056.jpg|artic
1884|1884|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000252/183236_2991091.jpg|artic
1884|1884|http://www.dia.org/user_area/comping/17.19-S1.jpg|detroit
1884|1884|http://www.dia.org/user_area/comping/50.130.jpg|detroit
1884|1884|http://www.dia.org/user_area/comping/86.2-D1.jpg|detroit
1884|1884|http://www.dia.org/user_area/comping/96.1-S1.jpg|detroit
1884|1884|http://www.dia.org/user_area/comping/1998.65-S1.jpg|detroit
1884|1884|http://www.dia.org/user_area/comping/14.2-S1.jpg|detroit
